Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0249999269897118,-9.62933431329799E-10,0.0182059137038033,0,0,0,2.01794832946602,0.00639865582150861,-2.21144447010729E-09,-7.58696369412074E-09,0.00539489384464479,-1.60404482866338E-10,0.00182161129792732,0.025,0,0.0535044534957096,0,0,3.14159265358979,package://humanoid6/meshes/base_link.3dxml,0.537254901960784,0.349019607843137,0.337254901960784,1,0.025,0,0.0535044534957096,0,0,3.14159265358979,package://humanoid6/meshes/base_link.3dxml,,torso_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rarm_link1,0.025,0.0948466872017927,0.0224123737314368,0,0,0,0.107513313367749,1.99058383172086E-05,6.48567990112525E-21,9.27987581122861E-21,1.58034735285127E-05,3.98047937455929E-23,2.83363881319234E-05,0.025,0.035,0.0224123737314368,0,0,3.14159265358979,package://humanoid6/meshes/rarm_link1.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.025,0.035,0.0224123737314368,0,0,3.14159265358979,package://humanoid6/meshes/rarm_link1.3dxml,,arm_link1-1,rarm_link1,rarm_shoulder_p,rarm_shoulder_p,continuous,0,-0.035,0.0310920797642728,0,0,0,base_link,0,1,0,,,,,,,,,,,,
rarm_link2,0.0250000000000001,0.143610109953192,-0.0145761174871086,0,0,0,0.134223481770255,3.79701729364248E-05,2.97949261828277E-21,-2.60090703979867E-20,4.20469680208941E-05,5.31023897017839E-22,1.34270270990965E-05,0.0250000000000001,0.143610109953192,0.0224123737314368,-1.18067923593607E-30,1.07613612616013E-15,3.14159265358979,package://humanoid6/meshes/rarm_link2.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0250000000000001,0.143610109953192,0.0224123737314368,-1.18067923593607E-30,1.07613612616013E-15,3.14159265358979,package://humanoid6/meshes/rarm_link2.3dxml,,arm_link2-1,rarm_link2,rarm_shoulder_r,rarm_shoulder_r,continuous,0,-0.108610109953192,0,0,0,0,rarm_link1,1,0,0,,,,,,,,,,,,
rarm_link3,0.0250000000000001,0.143610109953192,0.0801292134268102,0,0,0,0.0539133133677492,1.53830547985901E-05,-4.55192190983354E-22,-4.44736711286236E-23,6.95250498387524E-06,-2.51017637345899E-22,1.22301401951793E-05,0.0250000000000001,0.143610109953192,0.113520688497346,0,0,3.14159265358979,package://humanoid6/meshes/rarm_link3.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0250000000000001,0.143610109953192,0.113520688497346,0,0,3.14159265358979,package://humanoid6/meshes/rarm_link3.3dxml,,arm_link3-1,rarm_link3,rarm_shoulder_y,rarm_shoulder_y,continuous,0,0,-0.0911083147659097,0,0,0,rarm_link2,0,0,1,,,,,,,,,,,,
rarm_link4,0.0250000000000001,0.143610109953191,0.166304309262394,0,0,0,0.0591834817702553,8.90430135422743E-06,-3.77440105414803E-21,-9.82012820430286E-22,4.82750626975816E-06,1.0507854224065E-21,8.42436043242986E-06,0.0250000000000001,0.143610109953191,0.172130798450539,-1.60982338570648E-15,1.06858966120171E-15,3.14159265358979,package://humanoid6/meshes/rarm_link4.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0250000000000001,0.143610109953191,0.172130798450539,-1.60982338570648E-15,1.06858966120171E-15,3.14159265358979,package://humanoid6/meshes/rarm_link4.3dxml,,arm_link4-1,rarm_link4,rarm_elbow_p,rarm_elbow_p,continuous,0,0,-0.0586101099531919,0,0,0,rarm_link3,0,1,0,,,,,,,,,,,,
rarm_link5,0.0250000000000001,0.143610109953192,0.159847638145912,0,0,0,0.0539133133677492,6.95250498387524E-06,8.39289845583379E-21,1.15019438373145E-20,1.53830547985901E-05,-6.85713906715062E-21,1.22301401951793E-05,0.0250000000000001,0.143610109953192,0.193239113216448,-1.72084568816899E-15,1.07613612616012E-15,3.14159265358979,package://humanoid6/meshes/rarm_link5.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0250000000000001,0.143610109953192,0.193239113216448,-1.72084568816899E-15,1.07613612616012E-15,3.14159265358979,package://humanoid6/meshes/rarm_link5.3dxml,,arm_link5-1,rarm_link5,rarm_elbow_y,rarm_elbow_y,continuous,0,0,-0.0211083147659097,0,0,0,rarm_link4,0,0,1,,,,,,,,,,,,
rarm_link6,0.0250000000000001,0.143610109953192,0.215363806999679,0,0,0,0.13529454728605,3.02287448272062E-05,-2.75499733692317E-21,-8.70840324309133E-21,2.58749900969606E-05,-5.90194305458486E-21,2.22317377083392E-05,0.0250000000000001,0.143610109953191,0.25184922316964,-1.82059228803766E-15,1.13797860024079E-15,3.14159265358979,package://humanoid6/meshes/rarm_link6.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0250000000000001,0.143610109953191,0.25184922316964,-1.82059228803766E-15,1.13797860024079E-15,3.14159265358979,package://humanoid6/meshes/rarm_link6.3dxml,,arm_link6-1,rarm_link6,rarm_elbow_r,rarm_elbow_r,continuous,0,0,-0.0586101099531918,0,0,0,rarm_link5,1,0,0,,,,,,,,,,,,
rarm_link7,0.0250000000000005,0.143610109953191,0.33311296148298,0,0,0,0.0801331357688743,1.14802020761367E-05,-3.68362016224928E-21,2.72262029374863E-22,7.40340699166748E-06,1.17438447236057E-22,9.55332808604059E-06,0.0250000000000005,0.143610109953191,0.346567647888742,-1.93963768657657E-15,0,3.14159265358979,package://humanoid6/meshes/rarm_link7.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0250000000000005,0.143610109953191,0.346567647888742,-1.93963768657657E-15,0,3.14159265358979,package://humanoid6/meshes/rarm_link7.3dxml,,arm_link7-1,rarm_link7,rarm_wrist_p,rarm_wrist_p,continuous,0,0,-0.0947184247191015,0,0,0,rarm_link6,0,-1,0,,,,,,,,,,,,
larm_link1,0.025,-0.0948466872017927,0.0224123737314368,0,0,0,0.107513313367749,1.99058383172086E-05,1.08946282427748E-20,-1.11709168245928E-20,1.58034735285127E-05,-2.74694041121597E-21,2.83363881319234E-05,0.025,-0.035,0.0224123737314368,0,0,3.14159265358979,package://humanoid6/meshes/larm_link1.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.025,-0.035,0.0224123737314368,0,0,3.14159265358979,package://humanoid6/meshes/larm_link1.3dxml,,arm_link1-3,larm_link1,larm_shoulder_p,larm_shoulder_p,continuous,0,0.035,0.0310920797642728,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
larm_link2,0.0249999999999998,-0.143610109953192,-0.0145761174871086,0,0,0,0.134223481770255,3.79701729364248E-05,7.81878299057904E-21,2.1535080635762E-20,4.20469680208941E-05,2.3513167496537E-21,1.34270270990965E-05,0.0249999999999999,-0.143610109953192,0.0224123737314368,1.78676518025613E-16,-1.17362996168451E-15,3.14159265358979,package://humanoid6/meshes/larm_link2.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0249999999999999,-0.143610109953192,0.0224123737314368,1.78676518025613E-16,-1.17362996168451E-15,3.14159265358979,package://humanoid6/meshes/larm_link2.3dxml,,arm_link2-2,larm_link2,larm_shoulder_r,larm_shoulder_r,continuous,0,0.108610109953192,0,0,0,0,larm_link1,1,0,0,,,,,,,,,,,,
larm_link3,0.0249999999999999,-0.143610109953192,0.0801292134268102,0,0,0,0.0539133133677491,1.53830547985901E-05,7.5444895431979E-22,-4.88842898421727E-23,6.95250498387523E-06,-8.18950246685588E-22,1.22301401951793E-05,0.0249999999999999,-0.143610109953192,0.113520688497347,0,0,3.14159265358979,package://humanoid6/meshes/larm_link3.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0249999999999999,-0.143610109953192,0.113520688497347,0,0,3.14159265358979,package://humanoid6/meshes/larm_link3.3dxml,,arm_link3-2,larm_link3,larm_shoulder_y,larm_shoulder_y,continuous,0,0,-0.0911083147659097,0,0,0,larm_link2,0,0,1,,,,,,,,,,,,
larm_link4,0.0249999999999997,-0.143610109953192,0.166304309262393,0,0,0,0.0591834817702552,8.90430135422741E-06,-3.32452509537704E-21,7.77116709182853E-23,4.82750626975815E-06,-1.65486710471938E-21,8.42436043242985E-06,0.0249999999999998,-0.143610109953192,0.172130798450538,-1.27675647831893E-15,-1.5265566588596E-16,3.14159265358979,package://humanoid6/meshes/larm_link4.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0249999999999998,-0.143610109953192,0.172130798450538,-1.27675647831893E-15,-1.5265566588596E-16,3.14159265358979,package://humanoid6/meshes/larm_link4.3dxml,,arm_link4-2,larm_link4,larm_elbow_p,larm_elbow_p,continuous,0,0,-0.0586101099531918,0,0,0,larm_link3,0,-1,0,,,,,,,,,,,,
larm_link5,0.0249999999999998,-0.143610109953192,0.159847638145911,0,0,0,0.0539133133677491,6.95250498387523E-06,7.02793680543115E-21,8.43198353697651E-22,1.53830547985901E-05,-3.17025566137915E-21,1.22301401951793E-05,0.0249999999999998,-0.143610109953192,0.193239113216448,-1.4819334766439E-15,-1.52655665885961E-16,3.14159265358979,package://humanoid6/meshes/larm_link5.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0249999999999998,-0.143610109953192,0.193239113216448,-1.4819334766439E-15,-1.52655665885961E-16,3.14159265358979,package://humanoid6/meshes/larm_link5.3dxml,,arm_link5-2,larm_link5,larm_elbow_y,larm_elbow_y,continuous,0,0,-0.0211083147659097,0,0,0,larm_link4,0,0,1,,,,,,,,,,,,
larm_link6,0.0249999999999998,-0.143610109953192,0.215363806999678,0,0,0,0.13529454728605,3.02287448272062E-05,-5.67561609588916E-21,1.30204050324843E-21,2.58749900969606E-05,-5.90929867247353E-21,2.22317377083392E-05,0.0249999999999997,-0.143610109953192,0.25184922316964,-1.49186218934005E-15,2.1017707942083E-17,3.14159265358979,package://humanoid6/meshes/larm_link6.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0.0249999999999997,-0.143610109953192,0.25184922316964,-1.49186218934005E-15,2.1017707942083E-17,3.14159265358979,package://humanoid6/meshes/larm_link6.3dxml,,arm_link6-2,larm_link6,larm_elbow_r,larm_elbow_r,continuous,0,0,-0.0586101099531919,0,0,0,larm_link5,1,0,0,,,,,,,,,,,,
